"query", "class"
"What is the total strength of judges in the Rajasthan High Court to date?", 4
"How many judges are currently there for the Rajasthan High Court?", 4
"What is the current judge strength in the Rajasthan High Court?", 4
"What is the total number of judges in the Rajasthan High Court as of now?", 4
"How many judge positions are there in the Rajasthan High Court up to this date?", 4
"What is the total judge strength for the Rajasthan High Court as of today?", 4
"How many judges are there in Rajasthan High Court as of now?", 4
"What is the total number of judges in the Rajasthan High Court to date?", 4
"What is the total number of judges in the Rajasthan High Court as of now?", 4
"What is the total judge strength in the Rajasthan High Court to date?", 4
"What is the total strength of additional judges in the Rajasthan High Court to date?", 5
"How many additional judges are currently there in the Rajasthan High Court?", 5
"What is the current additional judge strength in the Rajasthan High Court?", 5
"What is the total number of additional judges in the Rajasthan High Court as of now?", 5
"How many additional judge positions are there in the Rajasthan High Court up to this date?", 5
"What is the total additional judge strength for the Rajasthan High Court as of today?", 5
"How many additional judges are there in the Rajasthan High Court as of now?", 5
"What is the total number of additional judges in the Rajasthan High Court to date?", 5
"What is the total number of additional judges in the Rajasthan High Court as of now?", 5
"What is the total additional judge strength in the Rajasthan High Court to date?", 5
"What is the total strength of permanent judges in the Rajasthan High Court to date?", 6
"How many permanent judges are currently in the Rajasthan High Court?", 6
"What is the current permanent judge strength in the Rajasthan High Court?", 6
"What is the total number of permanent judges in the Rajasthan High Court as of now?", 6
"How many permanent judge positions are there in the Rajasthan High Court up to this date?", 6
"What is the total permanent judge strength for the Rajasthan High Court as of today?", 6
"How many permanent judges are there in the Rajasthan High Court as of now?", 6
"What is the total number of permanent judges in the Rajasthan High Court to date?", 6
"What is the total number of permanent judges in the Rajasthan High Court as of now?", 6
"What is the total permanent judge strength in the Rajasthan High Court to date?", 6
"Can you provide the list of additional judges in the Rajasthan High Court?", 7
"What is the list of additional judges in the Rajasthan High Court?", 7
"Show me the list of additional judges for the Rajasthan High Court.", 7
"Please provide the list of all additional judges in the Rajasthan High Court.", 7
"Could you show the list of additional judges in the Rajasthan High Court?", 7
"What is the complete list of additional judges in the Rajasthan High Court?", 7
"Please display the list of additional judges in the Rajasthan High Court.", 7
"Can I see the list of additional judges in the Rajasthan High Court?", 7
"Give me the list of all additional judges in the Rajasthan High Court.", 7
"What is the list of all additional judges in the Rajasthan High Court?", 7
"Can you provide the list of transferred judges in the Rajasthan High Court?", 8
"What is the list of transferred judges in the Rajasthan High Court?", 8
"Show me the list of transferred judges for the Rajasthan High Court.", 8
"Please provide the list of all transferred judges in the Rajasthan High Court.", 8
"Could you show the list of transferred judges in the Rajasthan High Court?", 8
"What is the complete list of transferred judges in the Rajasthan High Court?", 8
"Please display the list of transferred judges in the Rajasthan High Court.", 8
"Can I see the list of transferred judges in the Rajasthan High Court?", 8
"Give me the list of all transferred judges in the Rajasthan High Court.", 8
"What is the list of all transferred judges in the Rajasthan High Court?", 8
"Can you provide the list of permanent judges in the Rajasthan High Court?", 9
"What is the list of permanent judges in the Rajasthan High Court?", 9
"Show me the list of permanent judges for the Rajasthan High Court.", 9
"Please provide the list of all permanent judges in the Rajasthan High Court.", 9
"Could you show the list of permanent judges in the Rajasthan High Court?", 9
"What is the complete list of permanent judges in the Rajasthan High Court?", 9
"Please display the list of permanent judges in the Rajasthan High Court.", 9
"Can I see the list of permanent judges in the Rajasthan High Court?", 9
"Give me the list of all permanent judges in the Rajasthan High Court.", 9
"What is the list of all permanent judges in the Rajasthan High Court?", 9
"Can you tell me about Puneet Dhankar as a judge of the Rajasthan High Court?", 10
"I’d like to know more about Puneet Dhankar in his role as a judge of the Rajasthan High Court.", 10
"Please provide information about Puneet Dhankar as a judge of the Rajasthan High Court.", 10
"What can you tell me about Puneet Dhankar as a judge in the Rajasthan High Court?", 10
"Tell me about Puneet Dhankar position as a judge in the Rajasthan High Court.", 10
"Can I get details about Puneet Dhankar as a judge of the Rajasthan High Court?", 10
"I want to learn more about Puneet Dhankar as a judge of the Rajasthan High Court.", 10
"What information do you have on Puneet Dhankar as a judge in the Rajasthan High Court?", 10
"Please tell me about Puneet Dhankar in the context of being a judge of the Rajasthan High Court.", 10
"I’m interested in learning about Puneet Dhankar as a judge of the Rajasthan High Court.", 10